Ewan McGregor
Sarah Michelle Gellar
Michael C. Hall
Brad Pitt
Alyson Hannigan
Megan Mullally
Lisa Kudrow
Julia Louis-Dreyfus
Samuel L. Jackson
Tom Hanks
Laurie Metcalf
Michael Fassbender
John Lithgow
James McAvoy
Leonardo DiCaprio
Patrick Stewart
Damian Lewis
Chris Pratt
Eliza Dushku
Bryan Cranston
Michael Cudlitz
Alexander SkarsgÌ´rd
Chris Evans
Aaron Paul
Christopher Meloni
Ray Stevenson
David Boreanaz
Lucy Lawless
Danny Masterson
Mila Kunis
Jesse Tyler Ferguson
Amy Acker
Lee Tergesen
Andrew Lincoln
Will Smith
Matt Damon
Ed O'Neill
Jon Stewart
Mike Myers
Steve Buscemi
Patrick Warburton
Katey Sagal
Liam Neeson
Steven Yeun
Ralph Fiennes
Woody Harrelson
Eric Roberts
Will Arnett
Greg Kinnear
Kathy Bates
Alec Baldwin
Lucy Liu
J.K. Simmons
Chris Rock
Patrick Wilson
Harrison Ford
Dean Winters
Cynthia Nixon
Paul Rudd
Norman Reedus
Bruce Willis
Wesley Snipes
Edward Norton
Clark Gregg
John Leguizamo
Margaret Cho
Peter Krause
Tom Cruise
Tina Fey
John Slattery
Kelsey Grammer
Alison Brie
Tim Robbins
H. Jon Benjamin
Vincent Kartheiser
Jessica Walter
Jason Bateman
Justin Kirk
Daniel Radcliffe
Wanda Sykes
Anthony Head
Seth Green
Molly Shannon
Rob Lowe
Sean Hayes
Alexis Denisof
ChloÌÇ Sevigny
Kevin McKidd
Courteney Cox
Kristen Schaal
John Cho
Bobby Cannavale
Christina Ricci
Laura Linney
Meryl Streep
Justin Timberlake
Claire Danes
Matthew Perry
Jake Gyllenhaal
Vivica A. Fox
Niecy Nash
Louis C.K.
Kimberly Elise
Julie Benz
Ed Helms
Neil Flynn
Jeff Daniels
Seth MacFarlane
Allen Leech
Lauren Luna VÌ©lez
Mark Moses
Bill Paxton
Wendi McLendon-Covey
Regina Hall
Blair Underwood
Bradley Cooper
Dave Chappelle
Chris Parnell
Mike O'Malley
Alex Borstein
Jennifer Carpenter
James Marsters
Lauren Ambrose
Kevin Alejandro
Hamish Linklater
Robbie Amell
Michael McMillian
Amy Poehler
Scott Bakula
Michael Kenneth Williams
Christina Applegate
Geoff Pierson
Nathan Fillion
David Morse
Lizzy Caplan
Patton Oswalt
Nick Offerman
James Van Der Beek
Julie White
Jamie Bamber
Nicole Kidman
Justin Chatwin
Edie Falco
Kevin Bacon
Wendie Malick
Gina Torres
Garret Dillahunt
Joseph Gordon-Levitt
Kathy Griffin
Eric McCormack
Uma Thurman
