Woody Allen
Pedro AlmodÌ_var
Robert Altman
Paul Thomas Anderson
Kenneth Anger
Michelangelo Antonioni
Matthew Barney
Ingmar Bergman
Luis BuÌ±uel
Tim Burton
Laurent Cantet
Nuri Bilge Ceylan
Claude Chabrol
Charles Chaplin
Henri-Georges Clouzot
Joel Coen
Francis Ford Coppola
Alex Cox
David Cronenberg
Jules Dassin
Terence Davies
Maya Deren
Carl Theodor Dreyer
Sergei M. Eisenstein
Abel Ferrara
David Fincher
John Ford
Georges Franju
Samuel Fuller
Abel Gance
Bahman Ghobadi
Terry Gilliam
Jean-Luc Godard
Peter Greenaway
D.W. Griffith
Michael Haneke
Hal Hartley
Howard Hawks
Todd Haynes
Werner Herzog
Alfred Hitchcock
Hsiao-Hsien Hou
John Huston
Derek Jarman
Jim Jarmusch
Buster Keaton
Krzysztof Kieslowski
Takeshi Kitano
Stanley Kubrick
Lev Kuleshov
Akira Kurosawa
Fritz Lang
Chang-dong Lee
Mike Leigh
Sergio Leone
Ernst Lubitsch
David Lynch
Alexander Mackendrick
Guy Maddin
Terrence Malick
Louis Malle
Michael Mann
YasuzÌ« Masumura
Shane Meadows
Jean-Pierre Melville
Lukas Moodysson
F.W. Murnau
Christopher Nolan
Mamoru Oshii
Nagisa ÌÓshima
Sam Peckinpah
Roman Polanski
Michael Powell
Otto Preminger
Nicholas Ray
Satyajit Ray
Jean Renoir
Alain Resnais
Leni Riefenstahl
Jacques Rivette
John Sayles
Martin Scorsese
Victor SjÌ¦strÌ¦m
Steven Spielberg
Josef von Sternberg
Preston Sturges
Quentin Tarantino
Andrei Tarkovsky
Hiroshi Teshigahara
Dziga Vertov
Jean Vigo
Raoul Walsh
Orson Welles
Wim Wenders
James Whale
Billy Wilder
Robert Wise
William Wyler
Yimou Zhang
Andrey Zvyagintsev
Chantal Akerman
Fatih Akin
Theodoros Angelopoulos
Denys Arcand
Bernardo Bertolucci
Albert Brooks
James Cameron
Frank Capra
Leos Carax
John Carpenter
RenÌ© Clair
Alan Clarke
Jean Cocteau
George Cukor
Bavo Defurne
Jacques Demy
Brian De Palma
Vittorio De Sica
Stanley Donen
Aleksandr Dovzhenko
Atom Egoyan
VÌ_ctor Erice
Asghar Farhadi
Rainer Werner Fassbinder
Federico Fellini
Milos Forman
John Frankenheimer
Ritwik Ghatak
Alejandro G. IÌ±ÌÁrritu
Henry Hathaway
Kon Ichikawa
ShÌ«hei Imamura
Alejandro Jodorowsky
Spike Jonze
Mikhail Kalatozov
Elia Kazan
Abbas Kiarostami
Masaki Kobayashi
Satoshi Kon
Hirokazu Koreeda
David Lean
Ang Lee
Spike Lee
Marcel L'Herbier
Richard Linklater
Joseph Losey
Sidney Lumet
Joseph L. Mankiewicz
Anthony Mann
Chris Marker
Sergio Martino
JirÌ_ Menzel
Takashi Miike
Vincente Minnelli
Hayao Miyazaki
Kenji Mizoguchi
Mikio Naruse
Jan Nemec
YasujirÌ« Ozu
Sergei Parajanov
Chan-wook Park
Pier Paolo Pasolini
Alexander Payne
Arthur Penn
Vsevolod Pudovkin
Man Ray
Godfrey Reggio
Rob Reiner
Glauber Rocha
Ìäric Rohmer
Claude Sautet
Ridley Scott
Masahiro Shinoda
Don Siegel
Robert Siodmak
Douglas Sirk
Steven Soderbergh
Aleksandr Sokurov
Todd Solondz
Sion Sono
Erich von Stroheim
Seijun Suzuki
Jan Svankmajer
IstvÌÁn SzabÌ_
Isao Takahata
BÌ©la Tarr
Zhuangzhuang Tian
Maurice Tourneur
FranÌ¤ois Truffaut
Shin'ya Tsukamoto
AgnÌ¬s Varda
King Vidor
KÌ«ji Wakamatsu
Peter Weir
Michael Winterbottom
Kar-Wai Wong
Edward Yang
Yoshishige Yoshida
Woo-Ping Yuen
Fred Zinnemann
Robert Aldrich
Michael Almereyda
Wes Anderson
Dario Argento
Darren Aronofsky
Hal Ashby
Boris Barnet
Mario Bava
Marco Bellocchio
Luis GarcÌ_a Berlanga
Luc Besson
Bertrand Blier
John Boorman
Danny Boyle
Catherine Breillat
Richard Brooks
Charles Burnett
John Cassavetes
Patrice ChÌ©reau
Benjamin Christensen
RenÌ© ClÌ©ment
Roger Corman
Costa-Gavras
Alfonso CuarÌ_n
Chris Cunningham
Michael Curtiz
Joe Dante
Frank Darabont
Jonathan Demme
Claire Denis
AndrÌ© De Toth
William Dieterle
Edward Dmytryk
Andrew Dominik
Clint Eastwood
Mike Figgis
Terence Fisher
Ron Fricke
William Friedkin
Kinji Fukasaku
Michel Gondry
James Gray
Walter Hill
Sang-soo Hong
Mamoru Hosoda
Jean-Pierre Jeunet
Chuck Jones
Neil Jordan
Chen Kaige
Lodge Kerrigan
Jee-woon Kim
Ki-duk Kim
Henry King
Grigori Kozintsev
Ray Lawrence
Samira Makhmalbaf
Djibril Diop MambÌ©ty
James Marsh
Leo McCarey
Sam Mendes
Russ Meyer
Errol Morris
Vincenzo Natali
Yuriy Norshteyn
FranÌ¤ois Ozon
Alan J. Pakula
Nick Park
Ivan Passer
Maurice Pialat
Gillo Pontecorvo
Stephen Quay
Sam Raimi
Martin Ritt
Alain Robbe-Grillet
Nicolas Roeg
Bernard Rose
Roberto Rossellini
Walter Ruttmann
John Schlesinger
Ousmane Sembene
Jerzy Skolimowski
Wladyslaw Starewicz
Oliver Stone
John Sturges
Bertrand Tavernier
Jacques Tourneur
Tran Anh Hung
Lars von Trier
Hark Tsui
Gus Van Sant
Andrzej Wajda
Wayne Wang
ShinichirÌ« Watanabe
Apichatpong Weerasethakul
William A. Wellman
Joss Whedon
Frederick Wiseman
John Woo
Sadao Yamanaka
Robert Zemeckis
Ben Affleck
Alexandre Aja
Alejandro AmenÌÁbar
Lindsay Anderson
Roy Andersson
Hector Babenco
Warren Beatty
Susanne Bier
Christoffer Boe
Budd Boetticher
Peter Bogdanovich
Sergey Bondarchuk
Joon Ho Bong
John Boulting
Stan Brakhage
Tod Browning
JÌ¦rg Buttgereit
Donald Cammell
Jane Campion
HÌ©lÌ¬ne Cattet
Jack Clayton
George Clooney
Sofia Coppola
Anton Corbijn
Sergio Corbucci
Charles Crichton
Delmer Daves
Danny DeVito
Pete Docter
Bill Douglas
John Duigan
Guru Dutt
Blake Edwards
Jean Epstein
Richard Fleischer
Bob Fosse
Stephen Frears
Jonathan Glazer
Stuart Gordon
Christopher Guest
Val Guest
TomÌÁs GutiÌ©rrez Alea
Jack Hill
John Hillcoat
Mike Hodges
Ann Hui
Joris Ivens
James Ivory
MiklÌ_s JancsÌ_
Zhangke Jia
Philip Kaufman
Dimitri Kirsanoff
Emir Kusturica
RenÌ© Laloux
Patrice Leconte
Mervyn LeRoy
Ye Lou
Mohsen Makhmalbaf
David Mamet
Lucky McKee
Steve McQueen
Lewis Milestone
John Milius
Christopher Morris
Robert Mulligan
Cristian Mungiu
Nobuo Nakagawa
Tetsuya Nakashima
Hideo Nakata
Mike Nichols
Gaspar NoÌ©
Ermanno Olmi
Jafar Panahi
Alan Parker
Stephen Poliakoff
Sydney Pollack
Lynne Ramsay
Tony Richardson
Tim Robbins
Bruce Robinson
Robert Rodriguez
Mark Romanek
George A. Romero
Robert Rossen
Raoul Ruiz
Ken Russell
Volker SchlÌ¦ndorff
Julian Schnabel
CÌ©line Sciamma
Henry Selick
Kaneto ShindÌ«
Kevin Smith
Jean-Marie Straub
Frank Tashlin
Johnnie To
Giuseppe Tornatore
Luchino Visconti
Nicolas Winding Refn
Edgar Wright
Terry Zwigoff
Michael Apted
Gregg Araki
Asia Argento
Anthony Asquith
Richard Attenborough
Ralph Bakshi
Noah Baumbach
Jacques Becker
Frank Borzage
Mel Brooks
Nick Broomfield
Marcel CarnÌ©
Jackie Chan
Larry Cohen
Bill Condon
Cameron Crowe
Cecil B. DeMille
Richard Donner
Rob Epstein
Louis Feuillade
Bryan Forbes
Lucio Fulci
Sidney J. Furie
Edmund Goulding
John Guillermin
Curtis Hanson
George Roy Hill
Oliver Hirschbiegel
IshirÌ« Honda
John Hughes
GakuryÌÈ Ishii
Ivan Ivanov-Vano
Peter Jackson
Lawrence Kasdan
Mathieu Kassovitz
Yoshiaki Kawajiri
Richard Kelly
Hiroyuki Kitakubo
Andrew Kotting
Stanley Kramer
Kiyoshi Kurosawa
Albert Lamorisse
John Landis
Barry Levinson
Joseph H. Lewis
Bigas Luna
KÌÁroly Makk
Rouben Mamoulian
Lucrecia Martel
Scott McGehee
Norman Z. McLeod
Fernando Meirelles
Georges MÌ©liÌ¬s
David MichÌ«d
Nanni Moretti
KÌ«ji Morimoto
Peter Mullan
Jimmy T. Murakami
Mira Nair
Chris Newby
Manoel de Oliveira
GÌ¦ran Olsson
Katsuhiro ÌÓtomo
Horace OvÌ©
Georg Wilhelm Pabst
Rithy Panh
Pawel Pawlikowski
Rafi Pitts
Sally Potter
Alex Proyas
Bob Rafelson
Carol Reed
Carl Reiner
Karel Reisz
Wolfgang Reitherman
Jason Reitman
Carlos Reygadas
Hans Richter
Wolf Rilla
Mark Robson
David O. Russell
Walter Salles
Mark Sandrich
Jerry Schatzberg
Paul Schrader
Menelik Shabazz
Steven Shainberg
Jim Sheridan
Makoto Shinkai
