,Name,Acting_Skill,Overall_Versatility,Role_Transformation
0,Leonardo DiCaprio,4.9,4.9,4.8
1,Will Smith,4.6,4.6,4.5
2,Johnny Depp,5,5,5
3,Tom Cruise,4.7,4.6,4.6
4,Robert Downey Jr.,4.7,4.7,4.7
5,Brad Pitt,4.7,4.7,4.6
6,Kevin Costner,4.5,4.5,4.6
7,Harrison Ford,4.5,4.3,4.4
8,Christian Bale,4.7,4.7,4.8
9,Tom Hanks,5,4.8,4.9
10,Michael Fassbender,4.7,4.8,4.7
11,Heath Ledger,5,4.8,5
12,Hugh Jackman,4.8,4.8,4.9
13,Matt Damon,4.7,4.6,4.7
14,Matthew McConaughey,4.8,4.8,4.9
15,Robert De Niro,5,4.8,4.8
16,Clint Eastwood,4.5,4.2,4.6
17,Denzel Washington,5,4.7,4.8
18,Kevin Spacey,5,4.8,4.7
19,Jim Carrey,4.8,4.8,4.7
20,Mel Gibson,4.6,4.5,4.6
21,Russell Crowe,4.8,4.7,5
22,Ralph Fiennes,4.9,4.8,4.9
23,Christopher Walken,4.7,4.6,4.6
24,Morgan Freeman,4.8,4.6,4.7
25,Gary Oldman,4.8,4.8,4.9
26,Liam Neeson,4.6,4.5,4.6
27,Benicio Del Toro,4.8,4.8,4.9
28,Bill Murray,4.7,4.5,4.6
29,Ben Kingsley,5,4.8,5
30,Samuel L. Jackson,4.7,4.6,4.6
31,George Clooney,4.6,4.5,4.6
32,Daniel Day-Lewis,5,5,5
33,Jack Nicholson,5,5,4.8
34,Al Pacino,5,4.8,4.8
35,Jeremy Irons,4.7,4.6,4.6
36,Robin Williams,5,4.8,4.8
37,Christoph Waltz,5,4.8,4.8
38,Edward Norton,4.7,4.7,4.7
39,Joaquin Phoenix,4.9,4.9,4.9
40,Marlon Brando,5,5,5
41,Colin Firth,4.8,4.7,4.8
42,Sean Connery,4.6,4.4,4.5
43,Philip Seymour Hoffman,5,5,5
44,Anthony Hopkins,5,5,5
45,Charles Chaplin,4.8,4.7,5
46,Sean Penn,5,5,5
47,Tommy Lee Jones,4.8,4.6,4.7
48,Robert Redford,4.4,4.2,4.3
49,Javier Bardem,5,4.8,5
50,Michael Douglas,4.6,4.5,4.5
51,Forest Whitaker,4.8,4.7,4.8
52,Jeff Bridges,4.9,4.8,5
53,Ian McKellen,4.7,4.6,4.8
54,John Wayne,4.6,4.4,4.7
55,Paul Newman,4.8,4.7,4.7
56,Don Cheadle,4.6,4.5,4.5
57,Michael Caine,4.7,4.6,4.8
58,Joe Pesci,4.7,4.5,4.5
59,Dustin Hoffman,5,4.8,5
60,Kevin Kline,4.7,4.6,4.5
61,Kirk Douglas,4.5,4.4,4.6
62,Gene Hackman,4.7,4.6,4.7
63,Jon Voight,4.5,4.7,4.7
64,Geoffrey Rush,4.7,4.7,4.8
65,Steve McQueen,4.6,4.5,4.6
66,Jamie Foxx,4.9,4.8,4.9
67,Robert Duvall,4.8,4.7,4.8
68,Christopher Plummer,4.6,4.4,4.7
69,Ed Harris,4.6,4.6,4.6
70,John Malkovich,4.8,4.8,4.9
71,Gregory Peck,4.6,4.5,4.7
72,Alec Guinness,4.6,4.6,4.6
73,Martin Sheen,4.5,4.5,4.6
74,James Dean,4.6,4.4,4.5
75,Cary Grant,4.5,4.3,4.5
76,Gene Kelly,4.6,4.5,4.7
77,James Stewart,4.7,4.5,4.6
78,Humphrey Bogart,4.7,4.5,4.6
79,Peter O'Toole,4.8,4.7,4.8
80,Charlton Heston,4.5,4.4,4.5
81,Laurence Olivier,5,4.8,5
82,Jack Lemmon,4.5,4.3,4.6
83,Peter Sellers,4.7,4.7,4.8
84,Clark Gable,4.6,4.5,4.5
85,Orson Welles,4.6,4.6,4.7
86,F. Murray Abraham,4.5,4.8,4.7
87,Henry Fonda,4.6,4.6,4.7
88,Sidney Poitier,4.7,4.7,4.8
89,Burt Lancaster,4.6,4.5,4.6
90,Alan Arkin,4.7,4.6,4.7
91,William Holden,4.6,4.6,4.7
92,Richard Burton,4.6,4.6,4.7
93,Robert Mitchum,4.6,4.5,4.5
94,George C. Scott,4.7,4.7,4.8
95,Gary Cooper,4.7,4.6,4.8
96,Jason Robards,4.7,4.7,4.8
97,Spencer Tracy,4.7,4.6,4.7
98,James Cagney,4.7,4.6,4.7
99,Peter Finch,4.7,4.6,4.7
