,num,id,name,year,name_year,tmdbid,imdbid,budget,revenue,collection,popularity,cast,dir
0,0,1,Toy Story ,1995,Toy Story 1995,862,114709,30000000,361958736,<Collection 'Toy Story Collection'>,3.170027,"[<Cast 'Tom Hanks' as 'Woody (voice)'>, <Cast 'Tim Allen' as 'Buzz Lightyear (voice)'>, <Cast 'Don Rickles' as 'Mr. Potato Head (voice)'>, <Cast 'Jim Varney' as 'Slinky Dog (voice)'>, <Cast 'Wallace Shawn' as 'Rex (voice)'>, <Cast 'John Ratzenberger' as 'Hamm (voice)'>, <Cast 'Annie Potts' as 'Bo Peep (voice)'>, <Cast 'John Morris' as 'Andy (voice)'>, <Cast 'Erik von Detten' as 'Sid (voice)'>, <Cast 'Laurie Metcalf' as 'Andy's Mom (voice)'>, <Cast 'R. Lee Ermey' as 'Sergeant (voice)'>, <Cast 'Sarah Freeman' as 'Hannah (voice)'>, <Cast 'Penn Jillette' as 'TV Announcer (voice)'>, <Cast 'Jack Angel' as 'Shark / Rocky Gibraltar (voice)'>, <Cast 'Spencer Aste' as 'Additional Voice'>, <Cast 'Greg Berg' as 'Minesweeper Soldier (voice)'>, <Cast 'Lisa Bradley' as 'Additional Voice'>, <Cast 'Kendall Cunningham' as 'Additional Voice'>, <Cast 'Debi Derryberry' as 'Aliens / Troll / Announcer on Intercom at Pizza Planet (voice)'>, <Cast 'Cody Dorkin' as 'Additional Voice'>, <Cast 'Bill Farmer' as 'Additional Voice'>, <Cast 'Craig Good' as 'Additional Voice'>, <Cast 'Gregory Grudt' as 'Additional Voice'>, <Cast 'Danielle Judovits' as 'Additional Voice'>, <Cast 'Sam Lasseter' as 'Additional Voice'>, <Cast 'Brittany Levenbrown' as 'Additional Voice'>, <Cast 'Sherry Lynn' as 'Additional Voice'>, <Cast 'Scott McAfee' as 'Additional Voice'>, <Cast 'Mickie McGowan' as 'Sid's Mom (voice)'>, <Cast 'Ryan O'Donohue' as 'Additional Voice'>, <Cast 'Jeff Pidgeon' as 'Aliens / Robot / Mr. Spell (voice)'>, <Cast 'Patrick Pinney' as 'Additional Voice'>, <Cast 'Philip Proctor' as 'Bowling Announcer / Pizza Planet Guard (voice)'>, <Cast 'Jan Rabson' as 'Additional Voice'>, <Cast 'Joe Ranft' as 'Lenny the Binoculars (voice)'>, <Cast 'Andrew Stanton' as 'Commercial Chorus (voice)'>, <Cast 'Shane Sweet' as 'Additional Voice'>, <Cast 'Frank Welker' as 'R.C. the Race Car / Scud / Buster (voice) (uncredited)'>]","<Crew 'John Lasseter','Director'>"
1,1,2,Jumanji ,1995,Jumanji 1995,8844,113497,65000000,262797249,,1.804375,"[<Cast 'Robin Williams' as 'Alan Parrish'>, <Cast 'Kirsten Dunst' as 'Judy Sheperd'>, <Cast 'Jonathan Hyde' as 'Samuel Alan Parrish / Van Pelt'>, <Cast 'Bonnie Hunt' as 'Sarah Whittle'>, <Cast 'Patricia Clarkson' as 'Carol Anne Parrish'>, <Cast 'Gillian Barber' as 'Mrs. Thomas the Realtor'>, <Cast 'Laura Bell Bundy' as 'Sarah Whittle (young)'>, <Cast 'Adam Hann-Byrd' as 'Alan Parrish (young)'>, <Cast 'Bradley Pierce' as 'Peter Shepherd'>, <Cast 'Bebe Neuwirth' as 'Nora Shepherd'>, <Cast 'David Alan Grier' as 'Carl Bentley'>, <Cast 'Brandon Obray' as 'Benjamin'>, <Cast 'Cyrus Thiedeke' as 'Caleb'>, <Cast 'Gary Joseph Thorup' as 'Billy Jessup'>, <Cast 'James Handy' as 'Exterminator'>, <Cast 'Leonard Zola' as 'Cop'>, <Cast 'Lloyd Berry' as 'Bum'>, <Cast 'Malcolm Stewart' as 'Jim Shepherd'>, <Cast 'Annabel Kershaw' as 'Martha Shepherd'>, <Cast 'Darryl Henriques' as 'Gun Salesman'>, <Cast 'Robyn Driscoll' as 'Paramedic'>, <Cast 'Peter James Bryant' as 'Paramedic'>, <Cast 'Sarah Gilson' as 'Girl'>, <Cast 'Florica Vlad' as 'Girl'>, <Cast 'June Lion' as 'Baker'>, <Cast 'Brenda Lockmuller' as 'Pianist'>]","<Crew 'Joe Johnston','Director'>"
2,2,3,Grumpier Old Men ,1995,Grumpier Old Men 1995,15602,113228,0,0,<Collection 'Grumpy Old Men Collection'>,0.810984,"[<Cast 'Walter Matthau' as 'Max Goldman'>, <Cast 'Jack Lemmon' as 'John Gustafson'>, <Cast 'Ann-Margret' as 'Ariel Gustafson'>, <Cast 'Sophia Loren' as 'Maria Sophia Coletta Ragetti'>, <Cast 'Daryl Hannah' as 'Melanie Gustafson'>, <Cast 'Burgess Meredith' as 'Grandpa Gustafson'>, <Cast 'Kevin Pollak' as 'Jacob Goldman'>]","<Crew 'Howard Deutch','Director'>"
3,3,4,Waiting to Exhale ,1995,Waiting to Exhale 1995,31357,114885,16000000,81452156,,0.188486,"[<Cast 'Whitney Houston' as 'Savannah 'Vannah' Jackson'>, <Cast 'Angela Bassett' as 'Bernadine 'Bernie' Harris'>, <Cast 'Loretta Devine' as 'Gloria 'Glo' Matthews'>, <Cast 'Lela Rochon' as 'Robin Stokes'>, <Cast 'Gregory Hines' as 'Marvin King'>, <Cast 'Dennis Haysbert' as 'Kenneth Dawkins'>, <Cast 'Michael Beach' as 'John Harris, Sr.'>, <Cast 'Mykelti Williamson' as 'Troy'>, <Cast 'Lamont Johnson' as 'Joseph'>, <Cast 'Wesley Snipes' as 'James Wheeler'>]","<Crew 'Forest Whitaker','Director'>"
4,4,5,Father of the Bride Part II ,1995,Father of the Bride Part II 1995,11862,113041,0,76578911,<Collection 'Father of the Bride Collection'>,0.369095,"[<Cast 'Steve Martin' as 'George Banks'>, <Cast 'Diane Keaton' as 'Nina Banks'>, <Cast 'Martin Short' as 'Franck Eggelhoffer'>, <Cast 'Kimberly Williams-Paisley' as 'Annie Banks-MacKenzie'>, <Cast 'George Newbern' as 'Bryan MacKenzie'>, <Cast 'Kieran Culkin' as 'Matty Banks'>, <Cast 'BD Wong' as 'Howard Weinstein'>, <Cast 'Peter Michael Goetz' as 'John MacKenzie'>, <Cast 'Kate McGregor-Stewart' as 'Joanna MacKenzie'>, <Cast 'Jane Adams' as 'Dr. Megan Eisenberg'>, <Cast 'Eugene Levy' as 'Mr. Habib'>]","<Crew 'Nancy Meyers','Screenplay'>"
5,5,6,Heat ,1995,Heat 1995,949,113277,60000000,187436818,,2.23974,"[<Cast 'Al Pacino' as 'Lt. Vincent Hanna'>, <Cast 'Robert De Niro' as 'Neil McCauley'>, <Cast 'Val Kilmer' as 'Chris Shiherlis'>, <Cast 'Jon Voight' as 'Nate'>, <Cast 'Tom Sizemore' as 'Michael Cheritto'>, <Cast 'Diane Venora' as 'Justine Hanna'>, <Cast 'Amy Brenneman' as 'Eady'>, <Cast 'Ashley Judd' as 'Charlene Shiherlis'>, <Cast 'Mykelti Williamson' as 'Sergeant Drucker'>, <Cast 'Wes Studi' as 'Detective Casals'>, <Cast 'Ted Levine' as 'Bosko'>, <Cast 'Dennis Haysbert' as 'Donald Breedan'>, <Cast 'William Fichtner' as 'Roger Van Zant'>, <Cast 'Natalie Portman' as 'Lauren Gustafson'>, <Cast 'Tom Noonan' as 'Kelso'>, <Cast 'Tone-Lōc' as 'Richard Torena'>, <Cast 'Hank Azaria' as 'Alan Marciano'>, <Cast 'Kevin Gage' as 'Waingro'>, <Cast 'Susan Traylor' as 'Elaine Cheritto'>, <Cast 'Kim Staunton' as 'Lillian'>, <Cast 'Danny Trejo' as 'Trejo'>, <Cast 'Henry Rollins' as 'Hugh Benny'>, <Cast 'Jerry Trimble' as 'Schwartz'>, <Cast 'Martin Ferrero' as 'Construction Clerk'>, <Cast 'Ricky Harris' as 'Albert Torena'>, <Cast 'Begonya Plaza' as 'Anna Trejo'>, <Cast 'Hazelle Goodman' as 'Hooker's Mother'>, <Cast 'Ray Buktenica' as 'Timmons'>, <Cast 'Jeremy Piven' as 'Dr. Bob'>, <Cast 'Xander Berkeley' as 'Ralph'>, <Cast 'Rick Avery' as 'Armoured Guard'>, <Cast 'Brad Baldridge' as 'Children's Hospital Doctor'>, <Cast 'Andrew Camuccio' as 'Dominick'>, <Cast 'Max Daniels' as 'Shooter at Drive-in'>, <Cast 'Vince Deadrick Jr.' as 'Driver at Drive-in'>, <Cast 'Kenny Endoso' as 'Bartender'>, <Cast 'Kimberly Flynn' as 'Casals' Date'>, <Cast 'Steven Ford' as 'Officer Bruce'>, <Cast 'Farrah Forke' as 'Claudia'>, <Cast 'Niki Harris' as 'Marcia Drucker'>, <Cast 'Patricia Healy' as 'Bosko's Date'>, <Cast 'Paul Herman' as 'Sergeant Heinz'>, <Cast 'Cindy Katz' as 'Rachel'>, <Cast 'Brian Libby' as 'Captain Jackson'>, <Cast 'Bill McIntosh' as 'Armoured Guard'>, <Cast 'Dan Martin' as 'Harry Dieter'>, <Cast 'Rick Marzan' as 'Basketball Player'>, <Cast 'Terry Miller' as 'Children's Hospital Nurse'>, <Cast 'Daniel O'Haco' as 'Detective'>, <Cast 'Mario Roberts' as 'Bank Guard'>, <Cast 'Thomas Rosales, Jr.' as 'Armoured Truck Driver'>, <Cast 'Kai Soremekun' as 'Prostitute'>, <Cast 'Yvonne Zima' as 'Hostage Girl'>, <Cast 'Peter Blackwell' as 'Bar Couple (uncredited)'>, <Cast 'Trevor Coppola' as 'Restaurant Patron (uncredited)'>, <Cast 'Bud Cort' as 'Solenko, Restaurant Manager (uncredited)'>, <Cast 'Mick Gould' as '1st SIS Detective in the hallway (uncredited)'>, <Cast 'Mary Kircher' as 'Police Woman (uncredited)'>, <Cast 'Darin Mangan' as 'Grocery Store Employee (uncredited)'>, <Cast 'Robert Miranda' as 'Cusamano (uncredited)'>, <Cast 'Manny Perry' as 'Grocery Store Cop (uncredited)'>, <Cast 'Iva Franks Singer' as 'Waitress (uncredited)'>, <Cast 'Viviane Vives' as 'Castilian Woman (uncredited)'>, <Cast 'Tim Werner' as 'Bank Guard (uncredited)'>, <Cast 'Philip Ettington' as 'Ellis (uncredited)'>]","<Crew 'Michael Mann','Director'>"
6,6,7,Sabrina ,1995,Sabrina 1995,11860,114319,58000000,0,,0.372129,"[<Cast 'Harrison Ford' as 'Linus Larrabee'>, <Cast 'Julia Ormond' as 'Sabrina Fairchild'>, <Cast 'Greg Kinnear' as 'David Larrabee'>, <Cast 'Angie Dickinson' as 'Mrs. Ingrid Tyson'>, <Cast 'Nancy Marchand' as 'Maude Larrabee'>, <Cast 'John Wood' as 'Fairchild'>, <Cast 'Richard Crenna' as 'Patrick Tyson'>, <Cast 'Lauren Holly' as 'Elizabeth Tyson'>, <Cast 'Dana Ivey' as 'Mack'>, <Cast 'Fanny Ardant' as 'Irene'>, <Cast 'Patrick Bruel' as 'Louis'>]","<Crew 'Sydney Pollack','Director'>"
7,7,8,Tom and Huck ,1995,Tom and Huck 1995,45325,112302,0,0,,0.13186,"[<Cast 'Jonathan Taylor Thomas' as 'Tom Sawyer'>, <Cast 'Brad Renfro' as 'Huck Finn'>, <Cast 'Rachael Leigh Cook' as 'Becky Thatcher'>, <Cast 'Michael McShane' as 'Muff Potter'>, <Cast 'Amy Wright' as 'Aunt Polly'>, <Cast 'Eric Schweig' as 'Injun Joe'>]","<Crew 'Peter Hewitt','Director'>"
8,8,9,Sudden Death ,1995,Sudden Death 1995,9091,114576,35000000,64350171,,0.588834,"[<Cast 'Jean-Claude Van Damme' as 'Darren Francis Thomas McCord'>, <Cast 'Powers Boothe' as 'Joshua Foss'>, <Cast 'Dorian Harewood' as 'Matthew Hallmark'>, <Cast 'Raymond J. Barry' as 'Vizepräsident Daniel Bender'>, <Cast 'Ross Malinger' as 'Tyler'>, <Cast 'Whittni Wright' as 'Emily McCord'>]","<Crew 'Peter Hyams','Director'>"
9,9,10,GoldenEye ,1995,GoldenEye 1995,710,113189,58000000,352194034,<Collection 'James Bond Collection'>,2.372663,"[<Cast 'Pierce Brosnan' as 'James Bond'>, <Cast 'Sean Bean' as 'Alec Trevelyan'>, <Cast 'Izabella Scorupco' as 'Natalya Fyodorovna Simonova'>, <Cast 'Famke Janssen' as 'Xenia Onatopp'>, <Cast 'Joe Don Baker' as 'Jack Wade'>, <Cast 'Judi Dench' as 'M'>, <Cast 'Gottfried John' as 'General Arkady Grigorovich Ourumov'>, <Cast 'Robbie Coltrane' as 'Valentin Dmitrovich Zukovsky'>, <Cast 'Alan Cumming' as 'Boris Grishenko'>, <Cast 'Tchéky Karyo' as 'Defense Minister Dmitri Mishkin'>, <Cast 'Desmond Llewelyn' as 'Q'>, <Cast 'Samantha Bond' as 'Miss Moneypenny'>, <Cast 'Michael Kitchen' as 'Bill Tanner'>, <Cast 'Serena Gordon' as 'Caroline'>, <Cast 'Simon Kunz' as 'Severnaya Duty Officer'>, <Cast 'Billy J. Mitchell' as 'Admiral Chuck Farrell'>, <Cast 'Constantine Gregory' as 'Computer Store Manager'>, <Cast 'Minnie Driver' as 'Irina'>, <Cast 'Michelle Arthur' as 'Anna'>, <Cast 'Ravil Isyanov' as 'Mig Pilot'>]","<Crew 'Martin Campbell','Director'>"
