,Name
0,Quentin Tarantino
1,Clint Eastwood
2,Christopher Nolan
3,Steven Spielberg
4,Mel Gibson
5,James Cameron
6,Martin Scorsese
7,Tim Burton
8,Charles Chaplin
9,Wes Anderson
10,Woody Allen
11,Ridley Scott
12,David Fincher
13,Ron Howard
14,Stanley Kubrick
15,Alejandro G. IÃ±Ã¡rritu
16,Peter Jackson
17,Paul Thomas Anderson
18,Joel Coen
19,David Lynch
20,Alfred Hitchcock
21,Mel Brooks
22,Steven Soderbergh
23,Roman Polanski
24,Francis Ford Coppola
25,Jim Jarmusch
26,Hayao Miyazaki
27,Robert Rodriguez
28,Frank Darabont
29,Lars von Trier
30,Pedro AlmodÃ³var
31,Terry Gilliam
32,David Cronenberg
33,Oliver Stone
34,Werner Herzog
35,Alfonso CuarÃ³n
36,Spike Jonze
37,Michael Mann
38,Orson Welles
39,Sam Mendes
40,Brian De Palma
41,Gus Van Sant
42,Akira Kurosawa
43,Sidney Lumet
44,Takeshi Kitano
45,Ingmar Bergman
46,Billy Wilder
47,Buster Keaton
48,Tom Tykwer
49,Mike Nichols
50,Andrei Tarkovsky
51,John Huston
52,Sergio Leone
53,Sydney Pollack
54,Federico Fellini
55,Michael Haneke
56,Jean-Luc Godard
57,Robert Altman
58,Jean-Pierre Jeunet
59,Blake Edwards
60,Milos Forman
61,John Ford
62,FranÃ§ois Truffaut
63,Kar-Wai Wong
64,Bernardo Bertolucci
65,Fritz Lang
66,Sam Peckinpah
67,Elia Kazan
68,Emir Kusturica
69,Luis BuÃ±uel
70,David Lean
71,Howard Hawks
72,Giuseppe Tornatore
73,Anthony Minghella
74,Krzysztof Kieslowski
75,Yimou Zhang
76,William Wyler
77,Rainer Werner Fassbinder
78,Jean-Pierre Dardenne
79,Michelangelo Antonioni
80,Frank Capra
81,Jim Sheridan
82,F.W. Murnau
83,Michael Curtiz
84,Vittorio De Sica
85,D.W. Griffith
86,Jafar Panahi
87,Robert Bresson
88,Costa-Gavras
89,Jean Renoir
90,Jean-Pierre Melville
91,Fred Zinnemann
92,Richard Brooks
93,Carl Theodor Dreyer
94,Theodoros Angelopoulos
95,Preston Sturges
96,Andrzej Wajda
97,Chen Kaige
98,King Vidor
99,Robert Rossen
