id,name,release_year,name_year,tmdbid,imdbid
1,Toy Story ,1995,Toy Story 1995,862,114709
2,Jumanji ,1995,Jumanji 1995,8844,113497
3,Grumpier Old Men ,1995,Grumpier Old Men 1995,15602,113228
4,Waiting to Exhale ,1995,Waiting to Exhale 1995,31357,114885
5,Father of the Bride Part II ,1995,Father of the Bride Part II 1995,11862,113041
6,Heat ,1995,Heat 1995,949,113277
7,Sabrina ,1995,Sabrina 1995,11860,114319
8,Tom and Huck ,1995,Tom and Huck 1995,45325,112302
9,Sudden Death ,1995,Sudden Death 1995,9091,114576
10,GoldenEye ,1995,GoldenEye 1995,710,113189
11,"American President, The ",1995,"American President, The 1995",9087,112346
12,Dracula: Dead and Loving It ,1995,Dracula: Dead and Loving It 1995,12110,112896
13,Balto ,1995,Balto 1995,21032,112453
14,Nixon ,1995,Nixon 1995,10858,113987
15,Cutthroat Island ,1995,Cutthroat Island 1995,1408,112760
16,Casino ,1995,Casino 1995,524,112641
17,Sense and Sensibility ,1995,Sense and Sensibility 1995,4584,114388
18,Four Rooms ,1995,Four Rooms 1995,5,113101
19,Ace Ventura: When Nature Calls ,1995,Ace Ventura: When Nature Calls 1995,9273,112281
20,Money Train ,1995,Money Train 1995,11517,113845
21,Get Shorty ,1995,Get Shorty 1995,8012,113161
22,Copycat ,1995,Copycat 1995,1710,112722
23,Assassins ,1995,Assassins 1995,9691,112401
24,Powder ,1995,Powder 1995,12665,114168
25,Leaving Las Vegas ,1995,Leaving Las Vegas 1995,451,113627
26,Othello ,1995,Othello 1995,16420,114057
27,Now and Then ,1995,Now and Then 1995,9263,114011
28,Persuasion ,1995,Persuasion 1995,17015,114117
30,Shanghai Triad ,1995,Shanghai Triad 1995,37557,115012
31,Dangerous Minds ,1995,Dangerous Minds 1995,9909,112792
32,Twelve Monkeys ,1995,Twelve Monkeys 1995,63,114746
33,Wings of Courage ,1995,Wings of Courage 1995,78802,114952
34,Babe ,1995,Babe 1995,9598,112431
35,Carrington ,1995,Carrington 1995,47018,112637
36,Dead Man Walking ,1995,Dead Man Walking 1995,687,112818
37,Across the Sea of Time ,1995,Across the Sea of Time 1995,139405,112286
38,It Takes Two ,1995,It Takes Two 1995,33689,113442
39,Clueless ,1995,Clueless 1995,9603,112697
40,"Cry, the Beloved Country ",1995,"Cry, the Beloved Country 1995",34615,112749
41,Richard III ,1995,Richard III 1995,31174,114279
42,Dead Presidents ,1995,Dead Presidents 1995,11443,112819
43,Restoration ,1995,Restoration 1995,35196,114272
44,Mortal Kombat ,1995,Mortal Kombat 1995,9312,113855
45,To Die For ,1995,To Die For 1995,577,114681
46,How to Make an American Quilt ,1995,How to Make an American Quilt 1995,11861,113347
47,Seven ,1995,Seven 1995,807,114369
48,Pocahontas ,1995,Pocahontas 1995,10530,114148
49,When Night Is Falling ,1995,When Night Is Falling 1995,8391,114916
50,"Usual Suspects, The ",1995,"Usual Suspects, The 1995",629,114814
51,Guardian Angel ,1994,Guardian Angel 1994,117164,109950
52,Mighty Aphrodite ,1995,Mighty Aphrodite 1995,11448,113819
53,Lamerica ,1994,Lamerica 1994,49133,110299
54,"Big Green, The ",1995,"Big Green, The 1995",26441,112499
55,Georgia ,1995,Georgia 1995,97406,113158
56,Kids of the Round Table ,1995,Kids of the Round Table 1995,124057,113541
57,Home for the Holidays ,1995,Home for the Holidays 1995,9089,113321
59,"Confessional, The ",1995,"Confessional, The 1995",99040,112714
60,"Indian in the Cupboard, The ",1995,"Indian in the Cupboard, The 1995",11359,113419
61,Eye for an Eye ,1996,Eye for an Eye 1996,17182,116260
62,Mr. Holland's Opus ,1995,Mr. Holland's Opus 1995,2054,113862
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood ,1996,Don't Be a Menace to South Central While Drinking Your Juice in the Hood 1996,10607,116126
64,Two if by Sea ,1996,Two if by Sea 1996,19760,118002
65,Bio-Dome ,1996,Bio-Dome 1996,9536,115683
66,Lawnmower Man 2: Beyond Cyberspace ,1996,Lawnmower Man 2: Beyond Cyberspace 1996,11525,116839
67,Two Bits ,1995,Two Bits 1995,40628,114753
68,French Twist ,1995,French Twist 1995,4482,113149
69,Friday ,1995,Friday 1995,10634,113118
70,From Dusk Till Dawn ,1996,From Dusk Till Dawn 1996,755,116367
71,Fair Game ,1995,Fair Game 1995,11859,113010
72,Kicking and Screaming ,1995,Kicking and Screaming 1995,28387,113537
74,Bed of Roses ,1996,Bed of Roses 1996,20927,115644
75,Big Bully ,1996,Big Bully 1996,36929,115676
76,Screamers ,1995,Screamers 1995,9102,114367
77,Nico Icon ,1995,Nico Icon 1995,124626,113973
78,"Crossing Guard, The ",1995,"Crossing Guard, The 1995",27526,112744
79,"Juror, The ",1996,"Juror, The 1996",9623,116731
80,"White Balloon, The ",1995,"White Balloon, The 1995",46785,112445
82,Antonia's Line ,1995,Antonia's Line 1995,880,112379
83,Once Upon a Time... When We Were Colored ,1995,Once Upon a Time... When We Were Colored 1995,146599,114039
84,Last Summer in the Hamptons ,1995,Last Summer in the Hamptons 1995,188588,113612
85,Angels and Insects ,1995,Angels and Insects 1995,8447,112365
86,White Squall ,1996,White Squall 1996,10534,118158
87,Dunston Checks In ,1996,Dunston Checks In 1996,17414,116151
88,Black Sheep ,1996,Black Sheep 1996,13997,115697
89,Nick of Time ,1995,Nick of Time 1995,2086,113972
90,"Journey of August King, The ",1995,"Journey of August King, The 1995",61548,113490
92,Mary Reilly ,1996,Mary Reilly 1996,9095,117002
93,Vampire in Brooklyn ,1995,Vampire in Brooklyn 1995,12158,114825
94,Beautiful Girls ,1996,Beautiful Girls 1996,9283,115639
95,Broken Arrow ,1996,Broken Arrow 1996,9208,115759
96,In the Bleak Midwinter ,1995,In the Bleak Midwinter 1995,40154,113403
97,Hate ,1995,Hate 1995,406,113247
98,Shopping ,1994,Shopping 1994,45549,111173
99,Heidi Fleiss: Hollywood Madam ,1995,Heidi Fleiss: Hollywood Madam 1995,63076,113283
100,City Hall ,1996,City Hall 1996,11062,115907
101,Bottle Rocket ,1996,Bottle Rocket 1996,13685,115734
102,Mr. Wrong ,1996,Mr. Wrong 1996,47475,117102
103,Unforgettable ,1996,Unforgettable 1996,2045,118040
104,Happy Gilmore ,1996,Happy Gilmore 1996,9614,116483
105,"Bridges of Madison County, The ",1995,"Bridges of Madison County, The 1995",688,112579
106,Nobody Loves Me ,1994,Nobody Loves Me 1994,11907,110251
107,Muppet Treasure Island ,1996,Muppet Treasure Island 1996,10874,117110
109,Headless Body in Topless Bar ,1995,Headless Body in Topless Bar 1995,96357,113276
110,Braveheart ,1995,Braveheart 1995,197,112573
111,Taxi Driver ,1976,Taxi Driver 1976,103,75314
112,Rumble in the Bronx ,1995,Rumble in the Bronx 1995,33542,113326
113,Before and After ,1996,Before and After 1996,43566,115645
114,Margaret's Museum ,1995,Margaret's Museum 1995,71754,113774
115,Happiness Is in the Field ,1995,Happiness Is in the Field 1995,43612,112556
116,Anne Frank Remembered ,1995,Anne Frank Remembered 1995,51352,112373
117,"Young Poisoner's Handbook, The ",1995,"Young Poisoner's Handbook, The 1995",16934,115033
118,If Lucy Fell ,1996,If Lucy Fell 1996,10324,116606
119,"Steal Big, Steal Little ",1995,"Steal Big, Steal Little 1995",78406,114536
120,Race the Sun ,1996,Race the Sun 1996,55731,117427
122,Boomerang ,1992,Boomerang 1992,11066,103859
123,Chungking Express ,1994,Chungking Express 1994,11104,109424
124,"Star Maker, The ",1995,"Star Maker, The 1995",37975,114808
125,Flirting With Disaster ,1996,Flirting With Disaster 1996,2074,116324
126,"NeverEnding Story III, The ",1994,"NeverEnding Story III, The 1994",27793,110647
128,Jupiter's Wife ,1994,Jupiter's Wife 1994,290157,110217
130,Angela ,1995,Angela 1995,32622,112364
131,Frankie Starlight ,1995,Frankie Starlight 1995,73067,113107
132,Jade ,1995,Jade 1995,11863,113451
133,Nueba Yol ,1995,Nueba Yol 1995,55475,114015
134,Sonic Outlaws ,1995,Sonic Outlaws 1995,124636,114500
135,Down Periscope ,1996,Down Periscope 1996,9101,116130
136,From the Journals of Jean Seberg ,1995,From the Journals of Jean Seberg 1995,123360,113125
137,Man of the Year ,1995,Man of the Year 1995,5757,113756
138,"Neon Bible, The ",1995,"Neon Bible, The 1995",39428,113952
139,Target ,1995,Target 1995,124639,114618
140,Up Close and Personal ,1996,Up Close and Personal 1996,9302,118055
141,"Birdcage, The ",1996,"Birdcage, The 1996",11000,115685
142,Shadows ,1988,Shadows 1988,0,94878
143,Gospa ,1995,Gospa 1995,249882,113200
144,"Brothers McMullen, The ",1995,"Brothers McMullen, The 1995",16388,112585
145,Bad Boys ,1995,Bad Boys 1995,9737,112442
146,"Amazing Panda Adventure, The ",1995,"Amazing Panda Adventure, The 1995",30765,112342
147,"Basketball Diaries, The ",1995,"Basketball Diaries, The 1995",10474,112461
148,"Awfully Big Adventure, An ",1995,"Awfully Big Adventure, An 1995",22279,112427
149,Amateur ,1994,Amateur 1994,30157,109093
150,Apollo 13 ,1995,Apollo 13 1995,568,112384
151,Rob Roy ,1995,Rob Roy 1995,11780,114287
152,"Addiction, The ",1995,"Addiction, The 1995",34996,112288
153,Batman Forever ,1995,Batman Forever 1995,414,112462
155,Beyond Rangoon ,1995,Beyond Rangoon 1995,1873,112495
156,Blue in the Face ,1995,Blue in the Face 1995,5894,112541
158,Casper ,1995,Casper 1995,8839,112642
159,Clockers ,1995,Clockers 1995,20649,112688
160,Congo ,1995,Congo 1995,10329,112715
161,Crimson Tide ,1995,Crimson Tide 1995,8963,112740
162,Crumb ,1994,Crumb 1994,26564,109508
163,Desperado ,1995,Desperado 1995,8068,112851
164,Devil in a Blue Dress ,1995,Devil in a Blue Dress 1995,8512,112857
165,Die Hard: With a Vengeance ,1995,Die Hard: With a Vengeance 1995,1572,112864
166,"Doom Generation, The ",1995,"Doom Generation, The 1995",13552,112887
167,Feast of July ,1995,Feast of July 1995,259209,113044
168,First Knight ,1995,First Knight 1995,6520,113071
169,Free Willy 2: The Adventure Home ,1995,Free Willy 2: The Adventure Home 1995,9073,113114
170,Hackers ,1995,Hackers 1995,10428,113243
171,Jeffrey ,1995,Jeffrey 1995,17447,113464
172,Johnny Mnemonic ,1995,Johnny Mnemonic 1995,9886,113481
173,Judge Dredd ,1995,Judge Dredd 1995,9482,113492
174,Jury Duty ,1995,Jury Duty 1995,19326,113500
175,Kids ,1995,Kids 1995,9344,113540
176,Living in Oblivion ,1995,Living in Oblivion 1995,9071,113677
177,Lord of Illusions ,1995,Lord of Illusions 1995,8973,113690
178,Love & Human Remains ,1993,Love & Human Remains 1993,15730,107447
179,Mad Love ,1995,Mad Love 1995,47608,113729
180,Mallrats ,1995,Mallrats 1995,2293,113749
181,Mighty Morphin Power Rangers: The Movie ,1995,Mighty Morphin Power Rangers: The Movie 1995,9070,113820
182,Moonlight and Valentino ,1995,Moonlight and Valentino 1995,68274,113851
183,Mute Witness ,1994,Mute Witness 1994,48787,110604
184,Nadja ,1994,Nadja 1994,34574,110620
185,"Net, The ",1995,"Net, The 1995",1642,113957
186,Nine Months ,1995,Nine Months 1995,11472,113986
187,Party Girl ,1995,Party Girl 1995,36196,114095
188,"Prophecy, The ",1995,"Prophecy, The 1995",11980,114194
189,Reckless ,1995,Reckless 1995,58372,114241
190,Safe ,1995,Safe 1995,32646,114323
191,"Scarlet Letter, The ",1995,"Scarlet Letter, The 1995",10533,114345
192,"Show, The ",1995,"Show, The 1995",56088,114435
193,Showgirls ,1995,Showgirls 1995,10802,114436
194,Smoke ,1995,Smoke 1995,10149,114478
195,Something to Talk About ,1995,Something to Talk About 1995,18402,114496
196,Species ,1995,Species 1995,9348,114508
197,"Stars Fell on Henrietta, The ",1995,"Stars Fell on Henrietta, The 1995",139408,114534
198,Strange Days ,1995,Strange Days 1995,281,114558
199,"Umbrellas of Cherbourg, The ",1964,"Umbrellas of Cherbourg, The 1964",5967,58450
200,"Tie That Binds, The ",1995,"Tie That Binds, The 1995",79593,114666
201,Three Wishes ,1995,Three Wishes 1995,47939,114663
202,Total Eclipse ,1995,Total Eclipse 1995,36834,114702
203,"To Wong Foo, Thanks for Everything! Julie Newmar ",1995,"To Wong Foo, Thanks for Everything! Julie Newmar 1995",9090,114682
204,Under Siege 2: Dark Territory ,1995,Under Siege 2: Dark Territory 1995,3512,114781
205,Unstrung Heroes ,1995,Unstrung Heroes 1995,52856,114798
206,Unzipped ,1995,Unzipped 1995,77350,114805
207,"Walk in the Clouds, A ",1995,"Walk in the Clouds, A 1995",9560,114887
208,Waterworld ,1995,Waterworld 1995,9804,114898
209,White Man's Burden ,1995,White Man's Burden 1995,31611,114928
210,Wild Bill ,1995,Wild Bill 1995,65796,114938
211,"Browning Version, The ",1994,"Browning Version, The 1994",49805,109340
212,Bushwhacked ,1995,Bushwhacked 1995,26258,112602
214,Before the Rain ,1994,Before the Rain 1994,19155,110882
215,Before Sunrise ,1995,Before Sunrise 1995,76,112471
216,Billy Madison ,1995,Billy Madison 1995,11017,112508
